META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-03 20:27:28 GMT+2; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; ; 21/20
Draw; 9/4; 85/40; 21/10; 2; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; ; 11/5
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; 13/5; 3; 13/5; 13/5; 3; 13/5; 11/4; 3; 5/2; 3; 11/4; 3; 11/4; 11/4; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 13/5; ; 3
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-04 00:24:42 GMT+2; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; 1; 21/20
Draw; 9/4; 85/40; 21/10; 2; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; ; 11/5
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; 13/5; 3; 13/5; 13/5; 3; 13/5; 11/4; 3; 5/2; 3; 11/4; 3; 11/4; 11/4; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-04 04:23:43 GMT+2; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; 1; 21/20
Draw; 9/4; 85/40; 21/10; 2; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; 21/10; 11/5
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; 13/5; 3; 13/5; 13/5; 3; 13/5; 11/4; 3; 5/2; 3; 11/4; 3; 11/4; 11/4; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-04 08:23:54 GMT+2; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; 1; 21/20
Draw; 9/4; 85/40; 21/10; 2; 11/5; ; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 28/13; 11/5; 11/5; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; 21/10; 11/5
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; ; 3; 13/5; 13/5; 3; 13/5; 11/4; 3; 5/2; 3; 11/4; 3; 11/4; 29/10; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-04 12:24:47 GMT+2; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; 1; 21/20
