META; english/league-2/grimsby-v-crawley; 2017-03-12 00:22:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 04:22:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 08:23:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; ; 13/5; 12/5; 
Crawley; 3; 3; 29/10; 11/4; 3; 13/5; 3; 11/4; 14/5; 14/5; 3; 14/5; 29/10; 29/10; 11/4; 3; 37/13; 29/10; 14/5; 37/13; 61/20; 27/11; 37/13; 14/5; 37/13; ; 27/10; 11/4; 
META; english/league-2/grimsby-v-crawley; 2017-03-16 04:21:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 19/20; 19/20; 1; 19/20; 9/10; 20/21; 10/11; 10/11; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 19/20; ; 10/11; 19/20; 1; 19/20; 13/14; 19/20; 13/14; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; ; 13/5; 12/5; 
Crawley; 3; 3; 29/10; 11/4; 3; 13/5; 3; 11/4; 3; 14/5; 3; 14/5; 29/10; 29/10; 11/4; 3; 37/13; ; 14/5; 37/13; 61/20; 27/11; 37/13; 14/5; 37/13; ; 27/10; 11/4; 
META; english/league-2/grimsby-v-crawley; 2017-03-16 08:21:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 19/20; 19/20; 1; 19/20; 9/10; 20/21; 10/11; 10/11; 20/21; 19/20; 20/21; 19/20; 19/20; 1; 1; 19/20; 10/11; 10/11; 19/20; 1; 19/20; 13/14; 19/20; 13/14; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; ; 13/5; 12/5; 
Crawley; 3; 3; 29/10; 11/4; 3; 13/5; 3; 11/4; 3; 14/5; 3; 14/5; 29/10; 29/10; 11/4; 3; 37/13; 29/10; 14/5; 37/13; 61/20; 27/11; 37/13; 14/5; 37/13; ; 27/10; 11/4; 
META; english/league-2/grimsby-v-crawley; 2017-03-16 12:22:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 19/20; 19/20; 1; 19/20; 17/20; 20/21; 10/11; 10/11; 10/11; 19/20; 20/21; 10/11; 19/20; 10/11; 1; 10/11; 10/11; 10/11; 10/11; 1; 22/23; 13/14; 10/11; 13/14; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 11/5; 12/5; 5/2; 5/2; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; ; 12/5; 12/5; 
Crawley; 3; 3; 29/10; 11/4; 3; 13/5; 3; 11/4; 3; 3; 3; 16/5; 3; 29/10; 3; 3; 3; 29/10; 14/5; 3; 61/20; 27/11; 37/13; 14/5; 37/13; ; 14/5; 11/4; 
META; english/league-2/grimsby-v-crawley; 2017-03-16 16:21:59 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 19/20; 19/20; 1; 19/20; 17/20; 20/21; 10/11; 10/11; 20/21; 19/20; 20/21; 10/11; 19/20; 10/11; 1; 19/20; 10/11; 10/11; 19/20; 1; 22/23; 13/14; 19/20; 13/14; ; 20/21; 20/21; 20/21
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; ; 13/5; 12/5; 5/2
Crawley; 3; 3; 29/10; 11/4; 3; 13/5; 3; 11/4; 3; 14/5; 3; 14/5; 3; 29/10; 3; 3; 29/10; 29/10; 14/5; 29/10; 3; 27/11; 37/13; 14/5; 37/13; ; 27/10; 11/4; 3
META; english/league-2/grimsby-v-crawley; 2017-03-16 20:21:49 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 19/20; 19/20; 1; 19/20; 17/20; 20/21; 10/11; 10/11; 20/21; 19/20; 20/21; 10/11; 1; 10/11; 1; 19/20; 10/11; 10/11; 19/20; 1; 28/29; 13/14; 19/20; 13/14; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 27/11; 5/2; 12/5; 5/2; ; 5/2; 12/5; 
